date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-12-12,4.573684,5.175773,5.964796,5.175773,6.833583,6.314828,4.779524,6.314828,5.175773,4.435864,4.224225,4.225303,4.779524,6.314828,6.314828,6.833583,5.047884,4.224225,6.314828,4.225303,4.225303,4.529334,6.314828,5.175773,4.529334,5.964796,4.529334,4.779524,4.225303,4.779524,5.964796,6.314828,4.224225,4.779524,5.964796,4.225303,4.779524,4.779524,5.175773,4.225303,5.964796,5.047884,6.314828,6.833583,4.225303,4.529334,4.225303,6.314828,4.224225
2016-12-19,4.583122,4.072799,5.017019,4.072799,6.031673,5.881783,4.695592,5.881783,4.072799,4.056189,4.33833,4.396443,4.695592,5.881783,5.881783,6.031673,3.9098,4.33833,5.881783,4.396443,4.396443,4.413587,5.881783,4.072799,4.413587,5.017019,4.413587,4.695592,4.396443,4.695592,5.017019,5.881783,4.33833,4.695592,5.017019,4.396443,4.695592,4.695592,4.072799,4.396443,5.017019,3.9098,5.881783,6.031673,4.396443,4.413587,4.396443,5.881783,4.33833
2016-12-26,3.695082,4.340624,5.115659,4.340624,5.926966,5.580802,4.495784,5.580802,4.340624,2.339007,4.31585,4.440105,4.495784,5.580802,5.580802,5.926966,4.176558,4.31585,5.580802,4.440105,4.440105,4.934169,5.580802,4.340624,4.934169,5.115659,4.934169,4.495784,4.440105,4.495784,5.115659,5.580802,4.31585,4.495784,5.115659,4.440105,4.495784,4.495784,4.340624,4.440105,5.115659,4.176558,5.580802,5.926966,4.440105,4.934169,4.440105,5.580802,4.31585
2017-01-02,3.736259,3.043903,4.152835,3.043903,5.553346,5.190072,3.705131,5.190072,3.043903,2.574317,3.211877,2.956122,3.705131,5.190072,5.190072,5.553346,2.881891,3.211877,5.190072,2.956122,2.956122,3.179566,5.190072,3.043903,3.179566,4.152835,3.179566,3.705131,2.956122,3.705131,4.152835,5.190072,3.211877,3.705131,4.152835,2.956122,3.705131,3.705131,3.043903,2.956122,4.152835,2.881891,5.190072,5.553346,2.956122,3.179566,2.956122,5.190072,3.211877
2017-01-09,3.649325,3.547119,4.28629,3.547119,5.157519,4.606923,3.119427,4.606923,3.547119,1.556362,2.737259,2.856955,3.119427,4.606923,4.606923,5.157519,3.316362,2.737259,4.606923,2.856955,2.856955,3.365973,4.606923,3.547119,3.365973,4.28629,3.365973,3.119427,2.856955,3.119427,4.28629,4.606923,2.737259,3.119427,4.28629,2.856955,3.119427,3.119427,3.547119,2.856955,4.28629,3.316362,4.606923,5.157519,2.856955,3.365973,2.856955,4.606923,2.737259
2017-01-16,3.416971,3.501781,4.01258,3.501781,4.617565,4.243586,3.466354,4.243586,3.501781,2.213853,3.70201,4.138524,3.466354,4.243586,4.243586,4.617565,3.108247,3.70201,4.243586,4.138524,4.138524,4.280114,4.243586,3.501781,4.280114,4.01258,4.280114,3.466354,4.138524,3.466354,4.01258,4.243586,3.70201,3.466354,4.01258,4.138524,3.466354,3.466354,3.501781,4.138524,4.01258,3.108247,4.243586,4.617565,4.138524,4.280114,4.138524,4.243586,3.70201
2017-01-23,3.979787,3.745611,4.417683,3.745611,4.888513,4.637321,3.423523,4.637321,3.745611,1.938009,2.765264,2.25877,3.423523,4.637321,4.637321,4.888513,3.123377,2.765264,4.637321,2.25877,2.25877,1.983874,4.637321,3.745611,1.983874,4.417683,1.983874,3.423523,2.25877,3.423523,4.417683,4.637321,2.765264,3.423523,4.417683,2.25877,3.423523,3.423523,3.745611,2.25877,4.417683,3.123377,4.637321,4.888513,2.25877,1.983874,2.25877,4.637321,2.765264
2017-01-30,4.068278,3.523485,4.469265,3.523485,5.119792,4.62054,3.251051,4.62054,3.523485,1.392329,3.069534,3.372894,3.251051,4.62054,4.62054,5.119792,3.262905,3.069534,4.62054,3.372894,3.372894,3.719282,4.62054,3.523485,3.719282,4.469265,3.719282,3.251051,3.372894,3.251051,4.469265,4.62054,3.069534,3.251051,4.469265,3.372894,3.251051,3.251051,3.523485,3.372894,4.469265,3.262905,4.62054,5.119792,3.372894,3.719282,3.372894,4.62054,3.069534
2017-02-06,4.393138,4.060452,5.012087,4.060452,5.823768,5.466499,4.238229,5.466499,4.060452,2.184221,3.998503,4.391275,4.238229,5.466499,5.466499,5.823768,3.529006,3.998503,5.466499,4.391275,4.391275,4.928201,5.466499,4.060452,4.928201,5.012087,4.928201,4.238229,4.391275,4.238229,5.012087,5.466499,3.998503,4.238229,5.012087,4.391275,4.238229,4.238229,4.060452,4.391275,5.012087,3.529006,5.466499,5.823768,4.391275,4.928201,4.391275,5.466499,3.998503
2017-02-13,3.370613,2.816991,3.408324,2.816991,4.930056,4.901406,4.044699,4.901406,2.816991,2.086385,3.580097,3.842431,4.044699,4.901406,4.901406,4.930056,2.681364,3.580097,4.901406,3.842431,3.842431,3.906605,4.901406,2.816991,3.906605,3.408324,3.906605,4.044699,3.842431,4.044699,3.408324,4.901406,3.580097,4.044699,3.408324,3.842431,4.044699,4.044699,2.816991,3.842431,3.408324,2.681364,4.901406,4.930056,3.842431,3.906605,3.842431,4.901406,3.580097
2017-02-20,4.141214,3.791416,4.318361,3.791416,5.51087,5.239814,4.16148,5.239814,3.791416,1.788534,3.883517,4.464361,4.16148,5.239814,5.239814,5.51087,3.634954,3.883517,5.239814,4.464361,4.464361,4.727727,5.239814,3.791416,4.727727,4.318361,4.727727,4.16148,4.464361,4.16148,4.318361,5.239814,3.883517,4.16148,4.318361,4.464361,4.16148,4.16148,3.791416,4.464361,4.318361,3.634954,5.239814,5.51087,4.464361,4.727727,4.464361,5.239814,3.883517
2017-02-27,3.278229,4.623907,5.159463,4.623907,5.982347,5.458224,3.993284,5.458224,4.623907,2.402815,3.282692,3.899273,3.993284,5.458224,5.458224,5.982347,4.377486,3.282692,5.458224,3.899273,3.899273,4.534921,5.458224,4.623907,4.534921,5.159463,4.534921,3.993284,3.899273,3.993284,5.159463,5.458224,3.282692,3.993284,5.159463,3.899273,3.993284,3.993284,4.623907,3.899273,5.159463,4.377486,5.458224,5.982347,3.899273,4.534921,3.899273,5.458224,3.282692
2017-03-06,3.525051,4.161685,4.812318,4.161685,5.763076,5.360208,4.151065,5.360208,4.161685,1.844833,3.89344,4.51404,4.151065,5.360208,5.360208,5.763076,3.69026,3.89344,5.360208,4.51404,4.51404,4.929385,5.360208,4.161685,4.929385,4.812318,4.929385,4.151065,4.51404,4.151065,4.812318,5.360208,3.89344,4.151065,4.812318,4.51404,4.151065,4.151065,4.161685,4.51404,4.812318,3.69026,5.360208,5.763076,4.51404,4.929385,4.51404,5.360208,3.89344
2017-03-13,3.895174,4.35997,4.809886,4.35997,6.258433,5.92752,5.020538,5.92752,4.35997,2.936241,4.718355,5.334164,5.020538,5.92752,5.92752,6.258433,3.850213,4.718355,5.92752,5.334164,5.334164,5.480376,5.92752,4.35997,5.480376,4.809886,5.480376,5.020538,5.334164,5.020538,4.809886,5.92752,4.718355,5.020538,4.809886,5.334164,5.020538,5.020538,4.35997,5.334164,4.809886,3.850213,5.92752,6.258433,5.334164,5.480376,5.334164,5.92752,4.718355
2017-03-20,3.334983,3.903816,4.317962,3.903816,5.650772,5.581559,4.602881,5.581559,3.903816,2.138852,4.860227,4.688159,4.602881,5.581559,5.581559,5.650772,3.572125,4.860227,5.581559,4.688159,4.688159,4.903933,5.581559,3.903816,4.903933,4.317962,4.903933,4.602881,4.688159,4.602881,4.317962,5.581559,4.860227,4.602881,4.317962,4.688159,4.602881,4.602881,3.903816,4.688159,4.317962,3.572125,5.581559,5.650772,4.688159,4.903933,4.688159,5.581559,4.860227
2017-03-27,3.707852,3.865418,4.496788,3.865418,5.327934,4.950226,4.029915,4.950226,3.865418,2.58742,4.227411,4.761359,4.029915,4.950226,4.950226,5.327934,3.170818,4.227411,4.950226,4.761359,4.761359,5.013211,4.950226,3.865418,5.013211,4.496788,5.013211,4.029915,4.761359,4.029915,4.496788,4.950226,4.227411,4.029915,4.496788,4.761359,4.029915,4.029915,3.865418,4.761359,4.496788,3.170818,4.950226,5.327934,4.761359,5.013211,4.761359,4.950226,4.227411
2017-04-03,3.783846,3.213013,3.972036,3.213013,5.722987,5.724105,4.886359,5.724105,3.213013,3.24365,4.691811,5.219904,4.886359,5.724105,5.724105,5.722987,3.017654,4.691811,5.724105,5.219904,5.219904,5.552331,5.724105,3.213013,5.552331,3.972036,5.552331,4.886359,5.219904,4.886359,3.972036,5.724105,4.691811,4.886359,3.972036,5.219904,4.886359,4.886359,3.213013,5.219904,3.972036,3.017654,5.724105,5.722987,5.219904,5.552331,5.219904,5.724105,4.691811
2017-04-10,3.939454,3.883288,4.73487,3.883288,5.821203,5.668319,4.841567,5.668319,3.883288,3.577826,5.321778,5.174824,4.841567,5.668319,5.668319,5.821203,3.35433,5.321778,5.668319,5.174824,5.174824,5.000531,5.668319,3.883288,5.000531,4.73487,5.000531,4.841567,5.174824,4.841567,4.73487,5.668319,5.321778,4.841567,4.73487,5.174824,4.841567,4.841567,3.883288,5.174824,4.73487,3.35433,5.668319,5.821203,5.174824,5.000531,5.174824,5.668319,5.321778
2017-04-17,3.154034,3.520546,4.108275,3.520546,6.380582,6.515452,5.332496,6.515452,3.520546,2.441454,5.414657,4.76123,5.332496,6.515452,6.515452,6.380582,3.691794,5.414657,6.515452,4.76123,4.76123,4.364122,6.515452,3.520546,4.364122,4.108275,4.364122,5.332496,4.76123,5.332496,4.108275,6.515452,5.414657,5.332496,4.108275,4.76123,5.332496,5.332496,3.520546,4.76123,4.108275,3.691794,6.515452,6.380582,4.76123,4.364122,4.76123,6.515452,5.414657
2017-04-24,3.392203,4.043926,4.744301,4.043926,6.150055,5.731381,4.203185,5.731381,4.043926,2.395441,3.85282,3.312171,4.203185,5.731381,5.731381,6.150055,3.83737,3.85282,5.731381,3.312171,3.312171,3.0829,5.731381,4.043926,3.0829,4.744301,3.0829,4.203185,3.312171,4.203185,4.744301,5.731381,3.85282,4.203185,4.744301,3.312171,4.203185,4.203185,4.043926,3.312171,4.744301,3.83737,5.731381,6.150055,3.312171,3.0829,3.312171,5.731381,3.85282
2017-05-01,3.650362,4.083562,4.787446,4.083562,6.48235,6.001599,4.689766,6.001599,4.083562,3.147184,4.32501,3.968025,4.689766,6.001599,6.001599,6.48235,3.639034,4.32501,6.001599,3.968025,3.968025,3.825786,6.001599,4.083562,3.825786,4.787446,3.825786,4.689766,3.968025,4.689766,4.787446,6.001599,4.32501,4.689766,4.787446,3.968025,4.689766,4.689766,4.083562,3.968025,4.787446,3.639034,6.001599,6.48235,3.968025,3.825786,3.968025,6.001599,4.32501
2017-05-08,4.168888,4.344079,4.935568,4.344079,6.605404,6.578471,5.599854,6.578471,4.344079,7.79316,5.701888,5.627724,5.599854,6.578471,6.578471,6.605404,4.092626,5.701888,6.578471,5.627724,5.627724,5.376687,6.578471,4.344079,5.376687,4.935568,5.376687,5.599854,5.627724,5.599854,4.935568,6.578471,5.701888,5.599854,4.935568,5.627724,5.599854,5.599854,4.344079,5.627724,4.935568,4.092626,6.578471,6.605404,5.627724,5.376687,5.627724,6.578471,5.701888
2017-05-15,3.965969,4.789964,5.029746,4.789964,7.004507,6.806897,6.006514,6.806897,4.789964,5.451858,6.844185,6.879747,6.006514,6.806897,6.806897,7.004507,4.914388,6.844185,6.806897,6.879747,6.879747,6.37307,6.806897,4.789964,6.37307,5.029746,6.37307,6.006514,6.879747,6.006514,5.029746,6.806897,6.844185,6.006514,5.029746,6.879747,6.006514,6.006514,4.789964,6.879747,5.029746,4.914388,6.806897,7.004507,6.879747,6.37307,6.879747,6.806897,6.844185
2017-05-22,4.904873,4.791065,5.694016,4.791065,7.389694,7.316787,6.515998,7.316787,4.791065,10.414659,6.539073,6.645464,6.515998,7.316787,7.316787,7.389694,4.235084,6.539073,7.316787,6.645464,6.645464,6.691334,7.316787,4.791065,6.691334,5.694016,6.691334,6.515998,6.645464,6.515998,5.694016,7.316787,6.539073,6.515998,5.694016,6.645464,6.515998,6.515998,4.791065,6.645464,5.694016,4.235084,7.316787,7.389694,6.645464,6.691334,6.645464,7.316787,6.539073
2017-05-29,5.124796,5.076247,6.756467,5.076247,8.226672,7.981661,6.928184,7.981661,5.076247,9.004143,7.309166,7.452844,6.928184,7.981661,7.981661,8.226672,4.140908,7.309166,7.981661,7.452844,7.452844,7.852605,7.981661,5.076247,7.852605,6.756467,7.852605,6.928184,7.452844,6.928184,6.756467,7.981661,7.309166,6.928184,6.756467,7.452844,6.928184,6.928184,5.076247,7.452844,6.756467,4.140908,7.981661,8.226672,7.452844,7.852605,7.452844,7.981661,7.309166
2017-06-05,4.264795,5.825367,6.704462,5.825367,8.582929,8.800847,8.158685,8.800847,5.825367,2.848263,8.029148,7.663778,8.158685,8.800847,8.800847,8.582929,4.8596,8.029148,8.800847,7.663778,7.663778,7.320085,8.800847,5.825367,7.320085,6.704462,7.320085,8.158685,7.663778,8.158685,6.704462,8.800847,8.029148,8.158685,6.704462,7.663778,8.158685,8.158685,5.825367,7.663778,6.704462,4.8596,8.800847,8.582929,7.663778,7.320085,7.663778,8.800847,8.029148
2017-06-12,5.383641,4.477522,6.466195,4.477522,8.825922,8.859944,7.975719,8.859944,4.477522,6.169002,8.061905,7.442386,7.975719,8.859944,8.859944,8.825922,3.598053,8.061905,8.859944,7.442386,7.442386,6.973152,8.859944,4.477522,6.973152,6.466195,6.973152,7.975719,7.442386,7.975719,6.466195,8.859944,8.061905,7.975719,6.466195,7.442386,7.975719,7.975719,4.477522,7.442386,6.466195,3.598053,8.859944,8.825922,7.442386,6.973152,7.442386,8.859944,8.061905
2017-06-19,5.619893,4.706316,6.464666,4.706316,9.36152,9.575773,8.110498,9.575773,4.706316,10.166777,8.386291,8.480937,8.110498,9.575773,9.575773,9.36152,4.615879,8.386291,9.575773,8.480937,8.480937,7.790927,9.575773,4.706316,7.790927,6.464666,7.790927,8.110498,8.480937,8.110498,6.464666,9.575773,8.386291,8.110498,6.464666,8.480937,8.110498,8.110498,4.706316,8.480937,6.464666,4.615879,9.575773,9.36152,8.480937,7.790927,8.480937,9.575773,8.386291
2017-06-26,5.094521,6.48453,6.660608,6.48453,9.692653,9.960876,8.690522,9.960876,6.48453,10.419255,9.290873,9.246255,8.690522,9.960876,9.960876,9.692653,5.302063,9.290873,9.960876,9.246255,9.246255,8.430949,9.960876,6.48453,8.430949,6.660608,8.430949,8.690522,9.246255,8.690522,6.660608,9.960876,9.290873,8.690522,6.660608,9.246255,8.690522,8.690522,6.48453,9.246255,6.660608,5.302063,9.960876,9.692653,9.246255,8.430949,9.246255,9.960876,9.290873
