date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-10-13,4.969448,4.075566,5.465597,4.075566,7.699046,7.855447,7.546665,7.855447,4.075566,5.532594,7.694783,7.292698,7.546665,7.855447,7.855447,7.699046,3.315108,7.694783,7.855447,7.292698,7.292698,5.712583,7.855447,4.075566,5.712583,5.465597,5.712583,7.546665,7.292698,7.546665,5.465597,7.855447,7.694783,7.546665,5.465597,7.292698,7.546665,7.546665,4.075566,7.292698,5.465597,3.315108,7.855447,7.699046,7.292698,5.712583,7.292698,7.855447,7.694783
2016-10-14,5.006274,4.589150,5.444779,4.589150,7.511597,7.700855,6.309100,7.700855,4.589150,5.392961,6.161139,6.363431,6.309100,7.700855,7.700855,7.511597,5.308548,6.161139,7.700855,6.363431,6.363431,6.135879,7.700855,4.589150,6.135879,5.444779,6.135879,6.309100,6.363431,6.309100,5.444779,7.700855,6.161139,6.309100,5.444779,6.363431,6.309100,6.309100,4.589150,6.363431,5.444779,5.308548,7.700855,7.511597,6.363431,6.135879,6.363431,7.700855,6.161139
2016-10-15,5.366814,3.866628,5.131662,3.866628,7.682480,7.440453,6.131191,7.440453,3.866628,4.285825,6.229894,6.629813,6.131191,7.440453,7.440453,7.682480,3.884883,6.229894,7.440453,6.629813,6.629813,6.646897,7.440453,3.866628,6.646897,5.131662,6.646897,6.131191,6.629813,6.131191,5.131662,7.440453,6.229894,6.131191,5.131662,6.629813,6.131191,6.131191,3.866628,6.629813,5.131662,3.884883,7.440453,7.682480,6.629813,6.646897,6.629813,7.440453,6.229894
2016-10-16,5.322311,3.336533,4.737174,3.336533,8.651508,8.919308,7.140764,8.919308,3.336533,3.986362,6.577081,6.882365,7.140764,8.919308,8.919308,8.651508,5.214908,6.577081,8.919308,6.882365,6.882365,7.173843,8.919308,3.336533,7.173843,4.737174,7.173843,7.140764,6.882365,7.140764,4.737174,8.919308,6.577081,7.140764,4.737174,6.882365,7.140764,7.140764,3.336533,6.882365,4.737174,5.214908,8.919308,8.651508,6.882365,7.173843,6.882365,8.919308,6.577081
2016-10-17,5.613770,3.767975,4.813320,3.767975,9.269834,9.904737,8.607674,9.904737,3.767975,2.663017,8.000129,7.551694,8.607674,9.904737,9.904737,9.269834,4.283229,8.000129,9.904737,7.551694,7.551694,7.078623,9.904737,3.767975,7.078623,4.813320,7.078623,8.607674,7.551694,8.607674,4.813320,9.904737,8.000129,8.607674,4.813320,7.551694,8.607674,8.607674,3.767975,7.551694,4.813320,4.283229,9.904737,9.269834,7.551694,7.078623,7.551694,9.904737,8.000129
2016-10-18,5.576291,4.234821,5.927853,4.234821,9.389813,9.286964,7.393093,9.286964,4.234821,2.971287,6.455583,6.045527,7.393093,9.286964,9.286964,9.389813,4.251323,6.455583,9.286964,6.045527,6.045527,5.652782,9.286964,4.234821,5.652782,5.927853,5.652782,7.393093,6.045527,7.393093,5.927853,9.286964,6.455583,7.393093,5.927853,6.045527,7.393093,7.393093,4.234821,6.045527,5.927853,4.251323,9.286964,9.389813,6.045527,5.652782,6.045527,9.286964,6.455583
2016-10-19,5.257643,3.607671,6.989092,3.607671,9.536029,9.254886,7.009218,9.254886,3.607671,3.830906,5.350315,4.711872,7.009218,9.254886,9.254886,9.536029,3.424509,5.350315,9.254886,4.711872,4.711872,4.986937,9.254886,3.607671,4.986937,6.989092,4.986937,7.009218,4.711872,7.009218,6.989092,9.254886,5.350315,7.009218,6.989092,4.711872,7.009218,7.009218,3.607671,4.711872,6.989092,3.424509,9.254886,9.536029,4.711872,4.986937,4.711872,9.254886,5.350315
2016-10-20,4.906704,2.835690,4.949174,2.835690,9.619226,9.335957,6.323092,9.335957,2.835690,8.341698,4.199707,3.675871,6.323092,9.335957,9.335957,9.619226,3.077475,4.199707,9.335957,3.675871,3.675871,4.853543,9.335957,2.835690,4.853543,4.949174,4.853543,6.323092,3.675871,6.323092,4.949174,9.335957,4.199707,6.323092,4.949174,3.675871,6.323092,6.323092,2.835690,3.675871,4.949174,3.077475,9.335957,9.619226,3.675871,4.853543,3.675871,9.335957,4.199707
2016-10-21,5.254746,5.200708,5.485390,5.200708,9.408757,9.133579,5.911131,9.133579,5.200708,10.695091,4.080701,3.901052,5.911131,9.133579,9.133579,9.408757,4.043373,4.080701,9.133579,3.901052,3.901052,5.054000,9.133579,5.200708,5.054000,5.485390,5.054000,5.911131,3.901052,5.911131,5.485390,9.133579,4.080701,5.911131,5.485390,3.901052,5.911131,5.911131,5.200708,3.901052,5.485390,4.043373,9.133579,9.408757,3.901052,5.054000,3.901052,9.133579,4.080701
2016-10-22,5.157045,4.141641,4.856723,4.141641,9.270056,8.910284,8.075467,8.910284,4.141641,9.419027,6.360793,5.083766,8.075467,8.910284,8.910284,9.270056,4.281319,6.360793,8.910284,5.083766,5.083766,4.694297,8.910284,4.141641,4.694297,4.856723,4.694297,8.075467,5.083766,8.075467,4.856723,8.910284,6.360793,8.075467,4.856723,5.083766,8.075467,8.075467,4.141641,5.083766,4.856723,4.281319,8.910284,9.270056,5.083766,4.694297,5.083766,8.910284,6.360793
2016-10-23,4.295872,3.816713,4.686288,3.816713,8.457386,8.758678,8.209533,8.758678,3.816713,6.130765,7.559981,7.516654,8.209533,8.758678,8.758678,8.457386,3.838038,7.559981,8.758678,7.516654,7.516654,7.072177,8.758678,3.816713,7.072177,4.686288,7.072177,8.209533,7.516654,8.209533,4.686288,8.758678,7.559981,8.209533,4.686288,7.516654,8.209533,8.209533,3.816713,7.516654,4.686288,3.838038,8.758678,8.457386,7.516654,7.072177,7.516654,8.758678,7.559981
2016-10-24,4.216945,3.463685,4.046212,3.463685,8.484713,9.108954,8.080670,9.108954,3.463685,3.632326,7.744391,7.657443,8.080670,9.108954,9.108954,8.484713,3.767309,7.744391,9.108954,7.657443,7.657443,7.823502,9.108954,3.463685,7.823502,4.046212,7.823502,8.080670,7.657443,8.080670,4.046212,9.108954,7.744391,8.080670,4.046212,7.657443,8.080670,8.080670,3.463685,7.657443,4.046212,3.767309,9.108954,8.484713,7.657443,7.823502,7.657443,9.108954,7.744391
2016-10-25,5.113599,3.515181,4.098826,3.515181,8.852340,9.228680,8.764284,9.228680,3.515181,3.184829,8.303511,7.737635,8.764284,9.228680,9.228680,8.852340,4.959998,8.303511,9.228680,7.737635,7.737635,7.500496,9.228680,3.515181,7.500496,4.098826,7.500496,8.764284,7.737635,8.764284,4.098826,9.228680,8.303511,8.764284,4.098826,7.737635,8.764284,8.764284,3.515181,7.737635,4.098826,4.959998,9.228680,8.852340,7.737635,7.500496,7.737635,9.228680,8.303511
2016-10-26,5.093642,2.770139,3.754173,2.770139,8.637964,9.344384,8.621812,9.344384,2.770139,4.045973,7.460113,7.208271,8.621812,9.344384,9.344384,8.637964,3.396825,7.460113,9.344384,7.208271,7.208271,6.582243,9.344384,2.770139,6.582243,3.754173,6.582243,8.621812,7.208271,8.621812,3.754173,9.344384,7.460113,8.621812,3.754173,7.208271,8.621812,8.621812,2.770139,7.208271,3.754173,3.396825,9.344384,8.637964,7.208271,6.582243,7.208271,9.344384,7.460113
2016-10-27,4.407906,2.709795,6.029921,2.709795,9.305356,8.982338,6.153269,8.982338,2.709795,4.416502,5.172997,5.106175,6.153269,8.982338,8.982338,9.305356,4.277463,5.172997,8.982338,5.106175,5.106175,5.511299,8.982338,2.709795,5.511299,6.029921,5.511299,6.153269,5.106175,6.153269,6.029921,8.982338,5.172997,6.153269,6.029921,5.106175,6.153269,6.153269,2.709795,5.106175,6.029921,4.277463,8.982338,9.305356,5.106175,5.511299,5.106175,8.982338,5.172997
